BBX28AIL5SZ,"In Aliquet Corp",4472720,2020-07-09,True
SBV55WFC5MV,"Integer Vulputate Risus Institute",4471554,2019-12-27,True
TEF51NBI7QF,"Vivamus Nibh LLC",8919033,2018-05-28,True
CBM81YFY6XR,ESPAÑAAAAAAAAAAAAAAAAA,8811172,2020-06-06,True
PTH79SXU5CW,"Urna Vivamus Associates",8397876,2020-01-12,False
JDW43DAH5CD,"Varius Orci In LLP",8835239,2017-12-14,False
HJL62XCJ5KX,"Dolor Limited",797550,2019-07-06,False
BEG74SPW6JD,"Suspendisse Eleifend Cras Corporation",261822,2018-07-06,False
KIC32QXK5PF,"Suscipit Nonummy Ltd",1668744,2019-12-05,no
RBX62ZFB3GH,"Ligula Incorporated",9669887,2019-07-28,True
SSQ55BYQ3SU,"In Scelerisque Associates",4982932,2020-04-21,True
UXF17XKT9WD,"Turpis Nec Ltd",2281779,2018-09-23,False
UDP44RHT1EP,"Mollis Nec Cursus LLP",988034,2018-09-09,True
BDB43DDW3RX,"Diam At Associates",5884557,2019-06-26,True
HUR75PZN3YB,"Lacus Cras Industries",4838613,2017-12-20,True
HRA25DQF5QT,"Mollis Lectus Company",4639909,2018-08-15,True
ZXT62QWY5NC,"Quam Dignissim Incorporated",7037731,2018-06-18,True
XGO44WXW3EC,"Interdum Libero Dui LLC",2886694,2019-03-10,False
ITE69NTR1AX,"Ipsum Ac Foundation",9156702,2018-09-17,True
GCQ53TEH8BN,"Vitae Aliquam PC",6904158,2019-07-04,False
